站点,子站,分类,子分类,设备名称,单位,数量,单价,合价,品牌型号
保定,全站设备汇总,视频监视,硬件设备,线缆（安防监控）,套,0.0,3960.0,0.0,定制
保定,全站设备汇总,通信系统,通信传输,STM-4 光接口,端口,0.0,14700.0,0.0,
保定,全站设备汇总,通信系统,通信传输,STM-64光接口,端口,0.0,78400.0,0.0,
保定,全站设备汇总,通信系统,通信传输,STM-64光接口板,STM-64光接口板,0.0,78400.0,0.0,
保定,全站设备汇总,通信系统,通信传输,千兆以太网接口,端口,0.0,10700.0,0.0,
保定,全站设备汇总,通信系统,通信传输,色散补偿板,项,0.0,11700.0,0.0,
保定,全站设备汇总,通信系统,通信传输,设备子架（含双路电源、双路主控、双路交叉、双路时钟及公务板卡）,套,0.0,98000.0,0.0,
保定,全站设备汇总,通信系统,通信交换,IAD接入设备,台,0.0,1450.0,0.0,
保定,全站设备汇总,通信系统,通信交换,MDF配线柜,套,0.0,6550.0,0.0,
保定,全站设备汇总,通信系统,通信交换,调度台,套,0.0,78000.0,0.0,
保定,全站设备汇总,通信系统,通信交换,软交换,套,0.0,79500.0,0.0,
保定,全站设备汇总,通信系统,光缆监测,1U子框,套,0.0,3000.0,0.0,
保定,全站设备汇总,通信系统,光缆监测,1U电源盘,套,0.0,2000.0,0.0,
保定,全站设备汇总,通信系统,光缆监测,4U子框,套,0.0,6000.0,0.0,
保定,全站设备汇总,通信系统,光缆监测,4U电源盘,套,0.0,2000.0,0.0,
保定,全站设备汇总,通信系统,光缆监测,8路光功率计盘,套,0.0,10000.0,0.0,
保定,全站设备汇总,通信系统,光缆监测,8路光开关盘,套,0.0,20000.0,0.0,
保定,全站设备汇总,通信系统,光缆监测,8路稳定光源,套,0.0,8000.0,0.0,
保定,全站设备汇总,通信系统,光缆监测,RTU盘,套,0.0,160000.0,0.0,
保定,全站设备汇总,通信系统,光缆监测,客户端软件,套,0.0,5000.0,0.0,
保定,全站设备汇总,通信系统,光缆监测,电源转换器,套,0.0,2000.0,0.0,
保定,保定区域应急调度监测站,计算机网络,配套,通信系统,,0.0,0,,
保定,保定区域应急调度监测站,计算机网络,配套,通信传输,,0.0,0,,
保定,保定区域应急调度监测站,计算机网络,配套,设备子架（含双路电源接入及主控、交叉、时钟、公务）,套,0.0,78400.0,0.0,
保定,保定区域应急调度监测站,计算机网络,配套,STM-4 光口,端口,0.0,14700.0,0.0,
保定,保定区域应急调度监测站,计算机网络,配套,以太网接口,端口,0.0,7300.0,0.0,
保定,保定区域应急调度监测站,计算机网络,配套,安装材料,套,0.0,2900.0,0.0,
